st, pitch, dur, keysig, timesig, fermata,
 6,  71,  2,  0,  16,  0
 8,  69,  4,  -2,  16,  0
 20,  74,  4,  1,  16,  0
 8,  71,  4,  1,  16,  0
 20,  70,  4,  -2,  16,  0
 18,  69,  2,  -2,  16,  0
 12,  73,  4,  3,  16,  0
 8,  70,  4,  -3,  16,  0
 8,  69,  4,  0,  16,  0
 8,  62,  4,  -1,  12,  0
 8,  69,  4,  0,  16,  0
 20,  67,  4,  -1,  12,  0
 20,  67,  4,  -3,  16,  0
 8,  74,  4,  -2,  12,  0
 8,  66,  4,  0,  16,  0
 18,  74,  2,  3,  16,  0
 8,  65,  4,  -1,  16,  0
 8,  70,  4,  -2,  16,  0
 8,  69,  4,  2,  16,  0
 8,  71,  4,  3,  16,  0
 20,  67,  4,  -2,  16,  0
 20,  65,  4,  -1,  16,  0
 20,  74,  4,  -2,  16,  0
 20,  67,  2,  0,  16,  0
 12,  65,  8,  -1,  12,  0
 20,  67,  4,  1,  16,  0
 20,  72,  2,  -1,  16,  0
 20,  69,  4,  3,  16,  0
 20,  62,  4,  0,  16,  0
 8,  69,  4,  2,  16,  0
 8,  71,  4,  2,  16,  0
 8,  71,  4,  1,  16,  0
 18,  71,  2,  0,  16,  0
 12,  69,  4,  3,  16,  0
 8,  69,  4,  1,  16,  0
 12,  69,  4,  1,  16,  0
 20,  74,  4,  1,  16,  0
 8,  71,  4,  2,  16,  0
 20,  67,  4,  0,  16,  0
 16,  71,  4,  1,  16,  0
 20,  71,  4,  1,  16,  0
 16,  69,  4,  2,  16,  0
 16,  68,  4,  -3,  16,  0
 20,  77,  4,  -2,  16,  0
 20,  66,  4,  -2,  16,  0
 17,  70,  3,  -2,  16,  0
 20,  67,  4,  0,  16,  0
 20,  77,  2,  -2,  16,  0
 20,  67,  4,  -1,  16,  0
 8,  74,  4,  -2,  16,  0
 16,  65,  4,  0,  16,  0
 20,  69,  4,  1,  16,  0
 20,  71,  4,  3,  16,  0
 20,  73,  4,  2,  16,  0
 8,  63,  4,  -3,  16,  0
 16,  69,  4,  2,  16,  0
 20,  67,  4,  -2,  16,  0
 20,  71,  4,  2,  16,  0
 18,  71,  2,  0,  16,  0
 16,  74,  4,  2,  16,  0
 20,  74,  4,  1,  16,  0
 8,  67,  4,  -2,  12,  0
 20,  66,  4,  3,  16,  0
 20,  67,  4,  -1,  16,  0
 20,  65,  4,  -1,  16,  0
 20,  71,  4,  2,  16,  0
 16,  66,  4,  2,  16,  0
 20,  71,  4,  3,  16,  0
 20,  69,  4,  0,  16,  0
 20,  69,  4,  0,  16,  0
 8,  67,  4,  1,  16,  0
 8,  74,  4,  1,  16,  0
 8,  71,  4,  0,  16,  0
 8,  73,  2,  3,  16,  0
 20,  67,  4,  0,  16,  0
 6,  66,  2,  0,  16,  0
 20,  76,  4,  3,  16,  0
 20,  69,  2,  0,  16,  0
 8,  71,  4,  1,  16,  0
 8,  69,  4,  2,  16,  0
 20,  69,  2,  -2,  16,  0
 16,  69,  4,  -1,  16,  0
 20,  68,  4,  3,  16,  0
 20,  69,  4,  2,  16,  0
 8,  65,  4,  -1,  16,  0
 20,  67,  4,  0,  16,  0
 20,  74,  4,  2,  16,  0
 20,  67,  4,  -2,  16,  0
 8,  64,  4,  4,  12,  0
 20,  69,  4,  0,  12,  0
 12,  71,  4,  0,  16,  0
 20,  69,  4,  1,  16,  0
 8,  70,  4,  -4,  16,  0
 20,  68,  4,  3,  12,  0
 20,  67,  4,  -1,  16,  0
 20,  74,  2,  1,  16,  0
 20,  71,  4,  4,  16,  0
 20,  71,  4,  1,  16,  0
 20,  69,  4,  3,  16,  0
 20,  74,  4,  1,  12,  0
